商品レビュー
"注文から商品が届くまでも早く、子供が楽しみにしていたので助かりました。
梱包も丁寧にされてました。"
4歳の息子がYouTubeで見て、食べたいと言うので購入しました。偽物のグミも売っていますが、これは本物でした(^^)口でケースを破るとパキッと良い音がして食べる前から楽しんでいました。食べ応えもありました。お店ではなかなか売っていないので、食べたい時にすぐに届き、ありがたかったです。
"見た目だけ判断でごめんなさい。
あまり良くない印象を受けました。
ゴムを食べさせているような感じです、
子供が欲しがるので買いましたが、、、"
映えるけど美味しくない💦
"レビューにあった溶けているとかなく届きました
中のジャムみたいな物が酸味が強く感じ
小さい子とか酸味が苦手な人には向かないのかなと
私は感じました"
"娘のクリスマスプレゼントの一つに購入。
人気商品なのは分かるが、高すぎる！"
"子供がずっと欲しがっていたので購入。
4個で996個円の時に購入しました。
本物か偽物かは判りませんが、子供は喜んでいたのでヨシとします。
消費期限も大丈夫でした。

食べた後はベロが真っ青になるので気をつけて下さいね。"
美味しいだけど、高すぎる。
"子供たちが食べました笑
喜んでたので美味しかったのではないのでしょうか？"
"娘にどうしてもと言われ購入。
喜んでもらえました。
ただ、数が少ないのでちょっと割高なきがします。"
"高いし、得体の知れないケミカルチックなグミで
大人は食する気分になりませんが、
子供は喜んでました。
稀にならご褒美に買っても良いと思いますが
常食は止めといたほうが良い気がしますw"
良かった。
"美味しいらしいです。(子供談)
4個入り。
裏側の表示写真が欲しかった。
賞味期限切れの写真を掲載されている方がいらっしゃいますが、日/月/年では？"
YouTubeでよく見かけるグミ。子供が食べたい！と言うので買ってみました。子供曰くおいしいらしいです。でも日本のグミの方が断然美味しいとのこと。私も一個貰いましたが、酸っぱかった！でも、開けるのは楽しかった！
"高いが子供も要求にて注文してみた。
子供達は満足していました。"
"子供たちからどうしても欲しいと言われ購入しました。
暑い日が続いていたので溶けてないか心配しましたが溶けてなかったです
値段的には高いですが子供たちが喜んでいたので満足です。"
"ホントにほしかったものがゲットできてよかったけど値段が 高めで、、

でも子供たちは喜んでました"
配達員の過ちで地球グミが潰れて居たと伝えたら、優しい対応で無料交換してくれた。ありがとうございます。友達にもおすそ分けしたのですがとても喜んでいました
"子供が欲しがっていたので購入
子供のために高くても我慢しました
マズイって言ってました(笑)"
か
"子どもの誕生日に購入しました。
この暑さなのでちょっと溶けて中のゼリーが外側に出てきていましたが、冷やしたら食べれました！なので噛んだら中からドロっとゼリーが出てくる…というのはなかったですが子どもは喜んでいたし味は変わらないのでよかったです！"
"娘ちゃんは大喜びで味も美味しいって今ってました。
リピーターになりそうです"
子供が地球グミ地球グミうるさいので買ったけど大容量でよかったです。ただ輸入品だから予定通りの配送日に到着しなくて予定より3日遅れぐらいで到着しました。海外からのものなので置き配もできずちょっと受け取りがめんどかった
"YouTubeを見た４歳の娘が食べたいと購入。中国製じゃないこちらを選びました。グミ自体とっても柔らかく、中の甘酸っぱいベリーソースが美味しいです。
娘も喜んで食べていて、私もあまりの美味しさに感動！また食べたいと思いますが、５個入りで少し高いかなと思うので、もう少し安くなったらいいなぁ。"
"美味しかったです‼️
でも ちょっと高い😅"
"毒々しい青い色素が口に残ります。もはやホラーです。
味は軽めですが、身体に悪くないのか心配になります。"
"手に入らないためか、高い。

味はケミカル。

けど、面白い。
楽しめれば良いのでは？"
子供は喜んだ
友達の間で流行ってて、ずっと欲しいと言っていたので購入してみました。値段の割に美味しくはな。子供も食べて満足した様でもう言ってきません。
斬新な食感！
"孫が食べてみたいとの事で買ってみました。
中に入ってるジャム見たいのがちょっと酸っぱい感じで思った程美味しい感じではないみたいかな？でもばぁばとすれば気になって買ってあげたいと思い購入後は孫達の評価なので私は満足です"
5個入りかと思ったら4個入り。正規品だし、2日後に届いたし、何より子供が大喜びだったから良しとしますが、コスパ悪い。。
どこにも売っていなく、こちらに売っていてくれて良かったです。ただ何処を見ていても価格はお高めでした。
子供が喜んでいました。あ
いい値段したなー
"コスパはかなり高い。
他で手に入らないから、しゃーないけど。"
ずっと、お口のなかでなめていたこどもは、舌が青くなって2度楽しめたようでした(^^)
孫へのプレゼントに購入しました。直ぐに届いてとても喜んでいました。
賞味期限が2日後に切れる品物が届いた。また、一つ潰れていた。商品として販売するに等しくないものです
"スーパーでは売り切れ続出みたいですが、購入後すぐに届きました！値段が高いのが難点ですが…
子供達が喜んでいました！"
好き嫌いが多い人なら気をつけたほうがいいです！私は甘くてもちもちしてて美味しいと思いました！
ずっとほしかった地球グミ本物！娘は大満足でした！また購入したいです。
少し前に流行ったようで、ずっと食べたがっていたので購入。味はまあまあと言っていました。
子供達にせがまれて買いましたが高いですね。
"子供が食べてみたいとゆうので買ってみました。
私は苦手かな。。"
孫がどうしても食べたいというので買いましたが、高い。
"娘は気に入ってましたが私は中のジェル味がイマイチ…
4個しか入ってないのでお高いですが、もう一つか二つ買えば良かったです。"
孫は初めてなので喜びました。
"4個しか入ってなくてこの値段は高い( ˆ꒳​ˆ; )
人にあげようと買ったので…
もっと入ってるのかと思った( ˆ꒳​ˆ; )"
"YouTuberが配信している用に音が良いかと言われると、うーんという感じ。
味は。。。でした。"
"少し前に流行っていて、気になったので買ってみました。
海外のお菓子ということで味も甘ったるい感じを想像していましたが、思ったよりさっぱりしていて美味しかったです。ラズベリーのような感じの味でした。
結構もちもちしているので注意書きもありますが、よく噛んで食べないと喉に詰まらせてしまうかもしれないです。"
"とにかく高い‼️
たったの4個で1250円は高すぎる‼️
娘が友達からもらい食べて気に入りまた食べたいと注文
今回だけ特別に注文しましたがあまりお気に召さず着色料が半端なくて舌や大便まで青くなりビックリしました"
子供が欲しがってるので、購入しました。美味しかったようでまた食べたいと言ってます。
金額の割に少なくてちゃちかった
味もいまいち
美味しかったです
私の口には合いませんでした。
流行りの地球グミ。子ども達の要望で購入しました。
"買ってみましたが
味は、あまり美味しくなく
子供達も残してしまう有様でした。
値段的に味が良くないのは、残念です。
硬さわ結構弾力あるので、大人でも
硬いなって思うくらいなので
子供からだとだいぶ硬く感じてしまう感じでした"
孫に欲しいと言われ、お店に売ってなくてしょうがなく買いました。高値でしたが買えました、ありがとう。
柔らかい。
"息子たちが欲しい欲しいと騒いでおり
お小遣いを貯めさせて購入しました。
私はひとつも食べてませんが
美味しかったそうです、、、"
いつもの地球グミ
"気に入ったところは
口で開けるときにパッきていう音が毎回開けても楽しめるのでいいなと思いました。
直してほしいところは私個人の意見なのですが味が口に合わなかったのでもうちょっと改善してほしいと思いました。
私は置いていたら可愛いなと思ったので可愛いお皿などに置いています。"
良かった
"姪っ子に頼まれて購入。見た目すごい色だと思ってしまいましたが、美味しいそうです。
喜んでました。"
子供が喜んでくれた。
溶けてました('・ω・｀)
"友人の子供へのプレゼント用に
購入しましたが、中身の球体パッケージが
すべて潰れていました…。
通販だから仕方ないのかもしれませんが
あまりにも潰れ過ぎているので
もう少し気をつけて頂きたいです。"
"代理購入です。
お子様大喜びだったそうです。
田舎住まいなので近所には売っていませ。
Amazonさんに感謝です。"
"It arrived late and it costs more than 250 yen per piece,the taste aint worth the price"
"ASMR動画で見て、どうしても食べてみたくて購入しました。

梱包状態も綺麗で、中の商品も綺麗なままで受けとりました。

味も美味しくて、買ってよかったなと思いました！"
孫が欲しくて探してました。
問題なく届いたーでも高いい
発送が早かったおかげで、おもちゃのUFOキャッチャーに入れて子どもがゲーセン感覚で取って食べていた
めちゃくちゃ不味く、食べた瞬間から30分くらいはずっと吐きそうでした。本物のはずなのに不味く、地球グミの味がわかりました。
発送が早かったおかげで、おもちゃのUFOキャッチャーに入れて子どもがゲーセン感覚で取って食べていた
めちゃくちゃ不味く、食べた瞬間から30分くらいはずっと吐きそうでした。本物のはずなのに不味く、地球グミの味がわかりました。
































































































































































































































































































































































































































































































































































































































































































































































































































































































































